City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,mossel bay,-34.1831,22.146,11.42,68,81,3.07,ZA,1688968844
183,dhuusamarreeb,5.535,46.3861,29.14,43,80,11.69,SO,1688968844
184,ksar el boukhari,35.8889,2.7491,31.34,22,36,2.91,DZ,1688968844
185,palmer,42.1584,-72.3287,22.23,84,100,0.0,US,1688968844
186,farasan,16.7022,42.1183,32.2,70,89,5.03,SA,1688968845
187,tual,-5.6667,132.75,26.08,86,100,10.31,ID,1688968846
188,alesund,62.4723,6.1549,21.11,78,0,3.6,NO,1688968846
189,moose jaw,50.4001,-105.5344,16.98,88,13,3.15,CA,1688968847
190,laayoune,27.1622,-13.2032,20.18,92,5,6.57,EH,1688968847
191,tulun,54.5611,100.5792,24.03,60,93,0.61,RU,1688968847
192,saint-philippe,-21.3585,55.7679,25.77,74,30,5.2,RE,1688968847
193,forster,-32.1667,152.5167,17.38,57,0,3.05,AU,1688968848
194,marianna,30.7744,-85.2269,26.09,94,0,4.63,US,1688968848
195,st. john's,47.5649,-52.7093,12.1,97,97,2.68,CA,1688968817
196,shingu,33.7333,135.9833,30.92,67,21,6.27,JP,1688968830
197,roma,43.2128,-75.4557,19.81,94,100,1.27,US,1688968585
198,hithadhoo,-0.6,73.0833,27.46,70,37,1.12,MV,1688968850
199,colonia,50.9333,6.95,21.09,80,75,4.12,DE,1688968850
200,geraldton,-28.7667,114.6,21.23,52,0,0.51,AU,1688968590
201,fort st. john,56.2499,-120.8529,19.2,64,11,2.44,CA,1688968851
202,port saint john's,-31.6229,29.5448,12.81,79,94,6.77,ZA,1688968852
203,firuzabad,28.8438,52.5707,34.88,8,0,2.27,IR,1688968852
204,gniewkowo,52.8946,18.4079,23.5,62,71,3.02,PL,1688968852
205,talnakh,69.4865,88.3972,6.23,85,100,3.59,RU,1688968854
206,krasnoufimsk,56.6059,57.7669,25.69,64,98,3.94,RU,1688968854
207,hasaki,35.7333,140.8333,35.68,74,8,8.16,JP,1688968853
208,kayenta,36.7278,-110.2546,24.54,23,6,5.53,US,1688968854
209,ifrane,33.3333,-5.25,25.4,13,12,12.21,MA,1688968855
210,harstad,68.799,16.5293,14.34,100,47,1.34,NO,1688968855
211,ingeniero guillermo n. juarez,-23.9,-61.85,20.71,82,90,2.54,AR,1688968855
212,t'aebaek,37.1759,128.9889,28.45,51,100,5.61,KR,1688968856
